net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Endinet,871688700000002681,Amperestraat,5223CR,5508KC,'S-HERTOGENBOSCH,15.0,100,93,60,1x35,5162,7,0
Endinet,871688700000002681,Hertgang,5508LC,5508LR,VELDHOVEN,43.0,100,100,93,1x35,2913,2,0
Endinet,871688700000002681,Strijpsebaan,5508RA,5508RB,VELDHOVEN,35.0,97,100,71,3x25,5729,17,9
Endinet,871688700000002681,Blauwven,5508RC,5508RC,VELDHOVEN,52.0,100,100,52,1x35,3890,6,2
Endinet,871688700000002681,Blauwven,5508RD,5508RD,VELDHOVEN,39.0,100,100,67,1x35,4063,8,3
Endinet,871688700000002681,Boomven,5508RE,5508RG,VELDHOVEN,17.0,88,100,94,3x25,6277,24,12
Endinet,871688700000002681,Hoefven,5508RH,5508RJ,VELDHOVEN,20.0,85,100,90,3x25,6293,25,15
Endinet,871688700000002681,Regenboogven,5508RK,5508RK,VELDHOVEN,64.0,98,100,84,1x35,2948,6,3
Endinet,871688700000002681,Turfven,5508RL,5508RM,VELDHOVEN,36.0,89,100,81,3x25,5257,11,11
Endinet,871688700000002681,Zandven,5508RN,5508RP,VELDHOVEN,30.0,100,100,73,3x25,4823,10,10
Endinet,871688700000002681,Libel,5508SB,5508SB,VELDHOVEN,44.0,100,100,75,1x35,3582,0,0
Endinet,871688700000002681,Libel,5508SC,5508SC,VELDHOVEN,15.0,100,100,53,3x25,3367,13,7
Endinet,871688700000002681,Vlinder,5508SE,5508SE,VELDHOVEN,19.0,100,100,63,1x35,3267,11,5
Endinet,871688700000002681,Eekhoorn,5508SG,5508SG,VELDHOVEN,27.0,100,100,96,1x35,2048,0,0
Endinet,871688700000002681,Ree,5508SJ,5508SJ,VELDHOVEN,25.0,100,100,68,1x35,7922,12,12
Endinet,871688700000002681,Haas,5508SK,5508SK,VELDHOVEN,19.0,100,100,84,1x35,3189,0,0
Endinet,871688700000002681,Smelen,5508SL,5508SL,VELDHOVEN,22.0,100,100,86,1x35,2772,32,32
Endinet,871688700000002681,Smelen,5508SM,5508SM,VELDHOVEN,18.0,100,100,89,1x35,3144,6,6
Endinet,871688700000002681,Meerstraat,5509RA,5509RA,VELDHOVEN,13.0,100,100,62,1x35,6434,0,0
Endinet,871688700000002681,Ree,5509RB,5509RB,VELDHOVEN,36.0,100,100,92,1x35,3459,8,8
Endinet,871688700000002681,Ree,5509RC,5509RC,VELDHOVEN,32.0,100,100,84,1x35,4159,50,50
Endinet,871688700000002681,Ree,5509RE,5509RG,VELDHOVEN,44.0,100,100,66,1x35,3925,34,34
Endinet,871688700000002681,Smelen,5509RK,5509RK,VELDHOVEN,20.0,95,100,100,1x35,2557,5,5
Endinet,871688700000002681,Smelen,5509RL,5509RL,VELDHOVEN,18.0,100,100,56,3x25,2938,0,0
Endinet,871688700000002681,Egel,5509RM,5509RM,VELDHOVEN,14.0,93,100,64,3x25,8626,64,64
Endinet,871688700000002681,Sterrenlaan,5531KA,5611AB,EINDHOVEN,17.0,100,76,47,3x25,16866,47,0
Endinet,871688700000002681,Stationsplein,5611AC,5611AC,EINDHOVEN,18.0,100,83,28,1x35,15799,33,28
Endinet,871688700000002681,Neckerspoel,5611AD,5611AH,EINDHOVEN,27.0,100,100,56,3x25,18497,11,4
Endinet,871688700000002681,Hermanus Boexstraat,5611AJ,5611AJ,EINDHOVEN,12.0,100,100,50,3x63,29517,25,17
Endinet,871688700000002681,Volderhof,5611AK,5611AK,EINDHOVEN,20.0,100,95,60,1x35,4561,10,10
Endinet,871688700000002681,18 Septemberplein,5611AL,5611AL,EINDHOVEN,10.0,100,90,40,3x50,33313,20,20
Endinet,871688700000002681,Nieuwe Emmasingel,5611AM,5611AM,EINDHOVEN,79.0,100,95,52,3x25,12852,23,20
Endinet,871688700000002681,Demer,5611AN,5611AR,EINDHOVEN,28.0,100,96,32,3x63,44874,43,11
Endinet,871688700000002681,Demer,5611AS,5611AS,EINDHOVEN,12.0,100,100,33,3x63,45362,75,50
Endinet,871688700000002681,Vrijstraat,5611AT,5611AV,EINDHOVEN,18.0,100,100,44,3x25,24771,33,11
Endinet,871688700000002681,Vrijstraat,5611AW,5611AW,EINDHOVEN,23.0,100,91,57,3x25,19788,22,9
Endinet,871688700000002681,Maximahof,5611AX,5611AX,EINDHOVEN,77.0,100,100,99,1x35,1841,0,0
Endinet,871688700000002681,Emmasingel,5611AZ,5611AZ,EINDHOVEN,113.0,100,99,79,1x35,5206,5,4
Endinet,871688700000002681,Professor Dr Dorgelolaan,5611BA,5611BB,EINDHOVEN,52.0,100,98,98,3x25,3037,2,2
Endinet,871688700000002681,Stationsplein,5611BC,5611BC,EINDHOVEN,14.0,100,93,64,3x25,4845,14,14
Endinet,871688700000002681,Mathildelaan,5611BD,5611BD,EINDHOVEN,23.0,100,78,100,1x35,2547,70,70
Endinet,871688700000002681,Mathildelaan,5611BE,5611BE,EINDHOVEN,20.0,100,90,100,1x35,2812,80,80
Endinet,871688700000002681,Hoog Gagel,5611BG,5611BG,EINDHOVEN,41.0,95,100,90,1x35,4552,10,7
Endinet,871688700000002681,Gagelstraat,5611BH,5611BH,EINDHOVEN,10.0,100,80,70,1x35,2511,90,80
Endinet,871688700000002681,Mathildelaan,5611BL,5611BX,EINDHOVEN,36.0,100,100,78,1x35,9267,22,6
Endinet,871688700000002681,Stationsweg,5611BZ,5611BZ,EINDHOVEN,47.0,100,100,68,1x35,2559,4,4
Endinet,871688700000002681,Vestdijk,5611CA,5611CA,EINDHOVEN,14.0,100,86,50,3x63,28008,43,14
Endinet,871688700000002681,Vestdijk,5611CB,5611CB,EINDHOVEN,41.0,100,100,63,1x35,3569,12,10
Endinet,871688700000002681,Vestdijk,5611CC,5611CC,EINDHOVEN,26.0,100,100,50,3x25,11794,8,0
Endinet,871688700000002681,Vestdijk,5611CE,5611CG,EINDHOVEN,104.0,100,100,73,1x35,3844,9,5
Endinet,871688700000002681,Raiffeisenstraat,5611CH,5611CH,EINDHOVEN,22.0,100,86,64,3x25,12337,27,14
Endinet,871688700000002681,Dommelstraat,5611CJ,5611CJ,EINDHOVEN,30.0,100,100,47,1x35,24713,10,0
Endinet,871688700000002681,Dommelstraat,5611CK,5611CK,EINDHOVEN,21.0,95,100,57,1x35,13197,24,14
Endinet,871688700000002681,Dommelstraat,5611CL,5611CL,EINDHOVEN,19.0,100,100,37,3x63,31880,21,0
Endinet,871688700000002681,Tramstraat,5611CM,5611CM,EINDHOVEN,39.0,97,100,82,1x35,2892,10,3
Endinet,871688700000002681,Tramstraat,5611CN,5611CP,EINDHOVEN,25.0,100,96,64,3x25,8950,48,36
Endinet,871688700000002681,Tramstraat,5611CR,5611CR,EINDHOVEN,14.0,100,100,43,1x35,6303,36,7
Endinet,871688700000002681,Augustijnendreef,5611CS,5611CS,EINDHOVEN,22.0,100,100,77,1x35,3675,5,0
Endinet,871688700000002681,Kanaalstraat,5611CT,5611CX,EINDHOVEN,44.0,100,100,77,1x35,6874,16,5
Endinet,871688700000002681,Vestdijk,5611CZ,5611CZ,EINDHOVEN,62.0,100,100,94,3x25,5507,0,0
Endinet,871688700000002681,Nieuwstraat,5611DA,5611DA,EINDHOVEN,20.0,100,100,25,3x35,18720,40,10
Endinet,871688700000002681,Nieuwstraat,5611DB,5611DB,EINDHOVEN,16.0,100,94,75,3x25,12869,0,0
Endinet,871688700000002681,Genderstraatje,5611DC,5611DE,EINDHOVEN,48.0,100,100,67,1x35,8078,4,2
Endinet,871688700000002681,Oude Stadsgracht,5611DG,5611DG,EINDHOVEN,13.0,100,92,69,1x35,7318,23,8
Endinet,871688700000002681,Oude Stadsgracht,5611DH,5611DH,EINDHOVEN,30.0,100,100,97,1x35,1506,3,3
Endinet,871688700000002681,Oude Stadsgracht,5611DJ,5611DJ,EINDHOVEN,24.0,100,100,92,1x35,3028,13,4
Endinet,871688700000002681,Heuvel Galerie,5611DK,5611DK,EINDHOVEN,75.0,100,95,45,3x25,28230,20,4
Endinet,871688700000002681,Gedempte Gracht,5611DL,5611DL,EINDHOVEN,40.0,100,100,63,1x35,3745,15,5
Endinet,871688700000002681,Gedempte Gracht,5611DM,5611DM,EINDHOVEN,41.0,100,100,83,1x35,2589,17,15
Endinet,871688700000002681,Marktstraat,5611EA,5611EC,EINDHOVEN,23.0,100,100,22,3x35,33249,39,26
Endinet,871688700000002681,Jan van Hooffstraat,5611ED,5611EE,EINDHOVEN,37.0,100,89,30,3x25,17744,27,8
Endinet,871688700000002681,Ten Hagestraat,5611EG,5611EG,EINDHOVEN,12.0,100,92,58,3x25,17768,17,17
Endinet,871688700000002681,Smalle Haven,5611EH,5611EH,EINDHOVEN,56.0,100,100,82,3x25,4636,5,0
Endinet,871688700000002681,Smalle Haven,5611EJ,5611EJ,EINDHOVEN,61.0,100,98,92,1x35,4936,7,5
Endinet,871688700000002681,Begijnenhof,5611EK,5611EK,EINDHOVEN,37.0,100,100,78,1x35,6500,14,5
Endinet,871688700000002681,Begijnenhof,5611EL,5611EP,EINDHOVEN,25.0,100,100,44,3x25,25948,56,12
Endinet,871688700000002681,Stratumseind,5611ER,5611ER,EINDHOVEN,33.0,100,100,55,1x35,9161,33,3
Endinet,871688700000002681,Stratumseind,5611ES,5611EV,EINDHOVEN,23.0,100,87,39,3x63,31468,61,22
Endinet,871688700000002681,Molenstraat,5611EW,5611EX,EINDHOVEN,18.0,100,94,50,3x25,6747,11,6
Endinet,871688700000002681,Bleekweg,5611EZ,5611EZ,EINDHOVEN,34.0,100,100,82,1x35,3326,15,0
Endinet,871688700000002681,Keizersgracht,5611GB,5611GC,EINDHOVEN,19.0,100,89,47,3x25,14602,16,5
Endinet,871688700000002681,Keizersgracht,5611GD,5611GD,EINDHOVEN,27.0,100,89,52,3x25,20940,30,26
Endinet,871688700000002681,Wal,5611GE,5611GE,EINDHOVEN,17.0,100,94,47,3x25,9795,29,24
Endinet,871688700000002681,Wal,5611GG,5611GH,EINDHOVEN,16.0,100,100,44,3x25,8329,19,6
Endinet,871688700000002681,Kerkstraat,5611GJ,5611GJ,EINDHOVEN,19.0,100,100,47,1x35,8849,32,26
Endinet,871688700000002681,Kerkstraat,5611GK,5611GK,EINDHOVEN,20.0,100,100,45,1x35,14836,0,0
Endinet,871688700000002681,Rechtestraat,5611GL,5611GP,EINDHOVEN,38.0,100,100,37,3x25,29193,18,11
Endinet,871688700000002681,Rechtestraat,5611GR,5611GS,EINDHOVEN,38.0,100,100,45,3x25,22370,24,16
Endinet,871688700000002681,Hooghuisstraat,5611GT,5611GT,EINDHOVEN,12.0,100,100,42,3x63,29205,42,25
Endinet,871688700000002681,Mauritsstraat,5611GV,5611GV,EINDHOVEN,18.0,100,100,83,1x35,6275,11,6
Endinet,871688700000002681,Krabbendampad,5611GW,5611GW,EINDHOVEN,13.0,100,100,85,1x35,1552,31,31
Endinet,871688700000002681,De Stadspoort,5611GZ,5611GZ,EINDHOVEN,10.0,100,100,40,3x25,12764,20,10
Endinet,871688700000002681,Willemstraat,5611HA,5611HA,EINDHOVEN,22.0,95,100,68,3x25,8534,5,5
Endinet,871688700000002681,Willemstraat,5611HB,5611HB,EINDHOVEN,22.0,100,82,45,3x25,9239,18,5
Endinet,871688700000002681,Willemstraat,5611HC,5611HC,EINDHOVEN,52.0,100,98,63,1x35,8796,12,2
Endinet,871688700000002681,Willemstraat,5611HD,5611HE,EINDHOVEN,18.0,100,72,44,3x25,19865,33,6
Endinet,871688700000002681,Wilhelminaplein,5611HG,5611HG,EINDHOVEN,17.0,100,94,59,3x25,4618,12,12
Endinet,871688700000002681,Prins Hendrikstraat,5611HH,5611HH,EINDHOVEN,29.0,100,100,66,1x35,3316,17,14
Endinet,871688700000002681,Prins Hendrikstraat,5611HJ,5611HJ,EINDHOVEN,40.0,100,100,63,1x35,2926,10,5
Endinet,871688700000002681,Prins Hendrikstraat,5611HK,5611HK,EINDHOVEN,23.0,100,100,78,1x35,4419,30,4
